stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.06747599,0.94,16900.0,1.0,3380.0,0.19960321,0.8377797,-1.2069676,0.10283002,168
0.06744207,0.98,17000.0,1.0,3400.0,0.1996067,0.8377941,-1.2266371,0.1028828,169
0.0674582,0.97,17100.0,1.0,3420.0,0.19959801,0.83777976,-1.347863,0.1029445,170
0.06745857,0.97,17200.0,1.0,3440.0,0.19962047,0.83782476,-1.3496425,0.102933235,171
0.06741652,0.94,17300.0,1.0,3460.0,0.1996079,0.83782744,-1.1230345,0.10302268,172
0.067404315,0.93,17400.0,1.0,3480.0,0.19961649,0.83783674,-1.1179731,0.103083074,173
0.06736099,0.96,17500.0,1.0,3500.0,0.19961113,0.8378539,-1.2405151,0.10316815,174
0.06731636,0.97,17600.0,1.0,3520.0,0.19962658,0.83786196,-0.9299633,0.10321513,175
0.06730007,0.97,17700.0,1.0,3540.0,0.19967443,0.83792955,-1.1850498,0.103282064,176
0.067262225,0.97,17800.0,1.0,3560.0,0.1996688,0.83793706,-0.93183297,0.103340775,177
0.06732196,0.96,17900.0,1.0,3580.0,0.1996374,0.8379565,-1.6680464,0.10344124,178
0.06728692,0.98,18000.0,1.0,3600.0,0.1996254,0.837949,-1.3342341,0.10350864,179
0.06724763,0.91,18100.0,0.95,3620.0,0.19964728,0.83794075,-1.5021319,0.10351239,180
0.06721846,0.96,18200.0,1.0,3640.0,0.19963194,0.8379441,-1.1795489,0.10355039,181
0.06717525,0.98,18300.0,1.0,3660.0,0.19963364,0.8379182,-1.4250222,0.10355309,182
0.067168355,0.97,18400.0,1.0,3680.0,0.1996286,0.8379784,-1.0358076,0.10353858,183
0.06715718,0.94,18500.0,1.0,3700.0,0.1996229,0.8379472,-1.2232035,0.10355208,184
0.06714777,0.95,18600.0,1.0,3720.0,0.19963364,0.8379633,-1.1042452,0.10357194,185
0.06711527,0.94,18700.0,1.0,3740.0,0.19963522,0.8379264,-1.0293406,0.10366801,186
0.06710038,0.97,18800.0,1.0,3760.0,0.19962896,0.8379789,-1.3631496,0.103668526,187
0.067060515,0.96,18900.0,1.0,3780.0,0.19962665,0.83798856,-1.5656568,0.10367459,188
