train/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,stats_o/mean,stats_g/std,test/success_rate,test/episode,train/episode
0.02,220,0.8517131,-46.84991,0.072702944,0.17693187,0.11864245,0.0,4420.0,22100.0
0.01,221,0.8516523,-45.370598,0.072726585,0.1769378,0.11862416,0.0,4440.0,22200.0
0.0,222,0.851644,-44.71881,0.0727712,0.17693947,0.118623696,0.0,4460.0,22300.0
0.02,223,0.85168976,-46.810387,0.07283202,0.17694664,0.11867031,0.0,4480.0,22400.0
0.01,224,0.85179496,-43.79631,0.07282753,0.17694029,0.11865152,0.0,4500.0,22500.0
0.0,225,0.8518148,-44.935246,0.07279048,0.17694768,0.11864332,0.05,4520.0,22600.0
0.01,226,0.8518658,-40.36448,0.07280349,0.1769529,0.118668325,0.05,4540.0,22700.0
0.01,227,0.8519476,-40.37665,0.07282091,0.17695719,0.11868926,0.0,4560.0,22800.0
0.01,228,0.85194135,-43.565437,0.072822735,0.1769794,0.11871392,0.05,4580.0,22900.0
0.01,229,0.8519339,-46.481327,0.072806746,0.17699137,0.11871835,0.0,4600.0,23000.0
0.01,230,0.8519551,-41.491188,0.07285367,0.17698336,0.11869055,0.05,4620.0,23100.0
0.0,231,0.85199636,-42.51857,0.072854966,0.17698722,0.118679084,0.0,4640.0,23200.0
0.01,232,0.85200685,-45.27022,0.072844364,0.1769901,0.11869667,0.0,4660.0,23300.0
0.01,233,0.8519586,-40.697853,0.07296401,0.17698704,0.11869212,0.0,4680.0,23400.0
0.01,234,0.8519767,-41.4991,0.07303184,0.17699754,0.11869051,0.0,4700.0,23500.0
0.0,235,0.85190344,-43.60133,0.07312103,0.17700501,0.11867484,0.0,4720.0,23600.0
0.01,236,0.85194,-45.03986,0.073202215,0.17700082,0.118672825,0.0,4740.0,23700.0
0.0,237,0.8519376,-40.651146,0.07326821,0.17700134,0.1186664,0.1,4760.0,23800.0
0.0,238,0.85194165,-42.454876,0.07333021,0.17699699,0.11868771,0.0,4780.0,23900.0
0.01,239,0.8519523,-43.802,0.07335279,0.17699078,0.11870361,0.0,4800.0,24000.0
0.0,240,0.8518727,-43.122738,0.073402956,0.17697844,0.11871871,0.0,4820.0,24100.0
0.02,241,0.85185987,-42.735527,0.07346852,0.17699932,0.118705936,0.0,4840.0,24200.0
0.02,242,0.8518603,-40.710903,0.073534615,0.17700325,0.1187085,0.0,4860.0,24300.0
0.02,243,0.8518724,-44.260277,0.07366272,0.1770098,0.1186918,0.0,4880.0,24400.0
0.01,244,0.85186154,-39.88241,0.07367649,0.17701702,0.11866823,0.05,4900.0,24500.0
0.01,245,0.85191494,-42.898563,0.07384171,0.17701134,0.11865091,0.0,4920.0,24600.0
0.01,246,0.85193187,-45.31439,0.0738684,0.17702158,0.118647374,0.0,4940.0,24700.0
0.0,247,0.85189635,-41.489983,0.07387031,0.17702205,0.118662,0.05,4960.0,24800.0
0.0,248,0.8518534,-42.32923,0.07388224,0.17702994,0.11866691,0.0,4980.0,24900.0
0.0,249,0.8518732,-39.162636,0.073961586,0.17702705,0.118674584,0.05,5000.0,25000.0
0.0,250,0.85187316,-41.936676,0.07398322,0.17703813,0.11866137,0.0,5020.0,25100.0
0.0,251,0.85188764,-44.465282,0.07400597,0.17704132,0.118650615,0.0,5040.0,25200.0
0.0,252,0.8518768,-43.08929,0.07404483,0.17703876,0.11864289,0.0,5060.0,25300.0
0.0,253,0.85191107,-39.959137,0.07406988,0.17705508,0.11866035,0.0,5080.0,25400.0
0.01,254,0.8519101,-39.193672,0.07411619,0.17705442,0.118651755,0.0,5100.0,25500.0
0.02,255,0.85186887,-44.541405,0.07413568,0.17704812,0.11862562,0.0,5120.0,25600.0
0.0,256,0.8518618,-41.909443,0.0741556,0.17704925,0.11860755,0.0,5140.0,25700.0
0.02,257,0.8518711,-43.650566,0.07420581,0.17704812,0.11859905,0.0,5160.0,25800.0
0.01,258,0.85184693,-43.168846,0.07423664,0.17704193,0.11860482,0.0,5180.0,25900.0
0.0,259,0.8518636,-43.01394,0.07425554,0.17703779,0.11860275,0.0,5200.0,26000.0
0.0,260,0.8517904,-42.82754,0.074256614,0.17702952,0.1186166,0.0,5220.0,26100.0
0.0,261,0.8518577,-41.843235,0.07430279,0.17701058,0.11862993,0.0,5240.0,26200.0
0.04,262,0.85182,-40.208416,0.07427496,0.17701665,0.11860708,0.0,5260.0,26300.0
0.0,263,0.8518214,-46.44859,0.074265935,0.177027,0.11861544,0.0,5280.0,26400.0
0.02,264,0.85186917,-43.33411,0.07429068,0.17702655,0.11862842,0.0,5300.0,26500.0
0.0,265,0.8518781,-44.576767,0.07428627,0.17701706,0.118606426,0.0,5320.0,26600.0
0.0,266,0.8518502,-44.153027,0.07425168,0.17700987,0.11856973,0.0,5340.0,26700.0
0.01,267,0.85182667,-39.113968,0.074257225,0.17699397,0.11856872,0.05,5360.0,26800.0
0.02,268,0.85181826,-45.141426,0.07427488,0.17700213,0.118581444,0.0,5380.0,26900.0
0.01,269,0.851783,-44.081715,0.07430452,0.1769847,0.1185733,0.0,5400.0,27000.0
0.0,270,0.85171103,-44.89734,0.074312575,0.17696348,0.11858234,0.0,5420.0,27100.0
0.0,271,0.85171646,-42.186317,0.07431202,0.17695597,0.11858491,0.05,5440.0,27200.0
0.01,272,0.8517094,-42.83497,0.074277036,0.17695214,0.11859272,0.0,5460.0,27300.0
