train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.94,0.06588852,1.0,0.100844815,4640.0,0.83862025,-1.096646,0.20171048,23200.0,231
0.94,0.06589767,1.0,0.10084581,4660.0,0.8386085,-1.4179069,0.20171364,23300.0,232
0.94,0.06589585,1.0,0.10083186,4680.0,0.8386021,-1.4443245,0.2016941,23400.0,233
0.95,0.06588791,1.0,0.10085089,4700.0,0.8386071,-0.9927017,0.20170946,23500.0,234
0.93,0.06589444,1.0,0.1008813,4720.0,0.8385754,-1.1444995,0.20172063,23600.0,235
0.97,0.065889455,1.0,0.10085713,4740.0,0.83857435,-1.209978,0.20171936,23700.0,236
0.95,0.065866195,1.0,0.100799315,4760.0,0.8385628,-0.9495274,0.20172964,23800.0,237
0.98,0.06584123,1.0,0.10080386,4780.0,0.83857685,-1.1223735,0.20174372,23900.0,238
0.92,0.06585296,1.0,0.100855306,4800.0,0.8385856,-0.9732248,0.20173548,24000.0,239
0.96,0.06583957,1.0,0.100854486,4820.0,0.8385462,-0.89797145,0.20172817,24100.0,240
0.98,0.065817036,1.0,0.10086591,4840.0,0.8385733,-0.7668119,0.20173268,24200.0,241
0.98,0.06579013,1.0,0.100838386,4860.0,0.83859795,-0.78440076,0.2017508,24300.0,242
0.96,0.06578973,1.0,0.10087293,4880.0,0.83860224,-1.0696042,0.201747,24400.0,243
0.95,0.06579343,1.0,0.100921676,4900.0,0.8386104,-0.91920185,0.20173848,24500.0,244
0.96,0.06577728,1.0,0.10095627,4920.0,0.8386046,-1.088367,0.20173855,24600.0,245
0.95,0.065767154,1.0,0.1009323,4940.0,0.8386026,-0.9003054,0.20173919,24700.0,246
0.97,0.065753765,1.0,0.100954436,4960.0,0.83859307,-0.96536845,0.20173426,24800.0,247
0.98,0.06576515,1.0,0.100963496,4980.0,0.83859396,-0.98881483,0.20172778,24900.0,248
0.94,0.0657415,1.0,0.10101612,5000.0,0.8385901,-0.9798085,0.20171511,25000.0,249
0.97,0.06572602,1.0,0.10101716,5020.0,0.83860797,-1.1278223,0.20171607,25100.0,250
0.98,0.06572815,1.0,0.101002,5040.0,0.838613,-1.3215833,0.20171972,25200.0,251
0.95,0.06571668,1.0,0.10103152,5060.0,0.83861613,-1.1314652,0.20172721,25300.0,252
0.97,0.06573043,1.0,0.1011044,5080.0,0.8386012,-1.1070988,0.20173806,25400.0,253
0.97,0.06569172,1.0,0.10109513,5100.0,0.8386178,-0.9696611,0.20173933,25500.0,254
0.96,0.0656753,1.0,0.101077594,5120.0,0.838631,-0.9943034,0.20172174,25600.0,255
0.96,0.06566684,1.0,0.101113565,5140.0,0.8386355,-1.1848443,0.2017244,25700.0,256
0.97,0.06564642,1.0,0.101122305,5160.0,0.83864146,-0.8545103,0.20173593,25800.0,257
0.97,0.0656181,1.0,0.101104915,5180.0,0.8386297,-0.77271974,0.20174477,25900.0,258
0.97,0.06561916,1.0,0.10108302,5200.0,0.83866423,-1.1971136,0.20176603,26000.0,259
0.95,0.06566193,1.0,0.10113342,5220.0,0.8386684,-1.2249628,0.20176376,26100.0,260
0.97,0.065651715,1.0,0.10114364,5240.0,0.8386512,-1.1802136,0.20177792,26200.0,261
0.9,0.065664336,1.0,0.10112576,5260.0,0.8386276,-0.85973644,0.20179424,26300.0,262
0.98,0.06564207,1.0,0.10112585,5280.0,0.8385939,-1.0528057,0.20180446,26400.0,263
0.97,0.06562,1.0,0.101110294,5300.0,0.8386111,-1.0612319,0.20180602,26500.0,264
