test/success_rate,epoch,stats_o/mean,test/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/mean,train/episode,stats_g/std
0.05,243,0.20395982,4880.0,0.06,-12.371814,0.05102813,0.87587327,24400.0,0.10621429
0.05,244,0.20396857,4900.0,0.05,-9.63603,0.05103718,0.8758159,24500.0,0.10620918
0.0,245,0.20396848,4920.0,0.05,-10.769642,0.051033802,0.87584656,24600.0,0.10621955
0.05,246,0.20396684,4940.0,0.02,-9.895686,0.051063918,0.8758727,24700.0,0.10624636
0.0,247,0.20396192,4960.0,0.06,-12.605412,0.051045965,0.8758934,24800.0,0.10624137
0.0,248,0.20396443,4980.0,0.05,-11.0958185,0.051011343,0.8758616,24900.0,0.10624304
0.0,249,0.2039607,5000.0,0.03,-11.275316,0.051112425,0.8758294,25000.0,0.106232785
0.05,250,0.20396525,5020.0,0.03,-7.761445,0.051092144,0.8758047,25100.0,0.106201895
0.0,251,0.20396504,5040.0,0.03,-12.010374,0.051122006,0.8758195,25200.0,0.10620135
0.05,252,0.20397384,5060.0,0.03,-8.847463,0.05110953,0.8758076,25300.0,0.10621808
0.05,253,0.20397562,5080.0,0.04,-11.25551,0.051119756,0.87578374,25400.0,0.106215514
0.1,254,0.20396212,5100.0,0.06,-9.645117,0.051217306,0.8757463,25500.0,0.106184565
0.0,255,0.20395462,5120.0,0.02,-11.340948,0.051198658,0.87579924,25600.0,0.106211185
0.15,256,0.2039496,5140.0,0.01,-8.485061,0.05117406,0.87580234,25700.0,0.10620884
0.05,257,0.2039413,5160.0,0.08,-8.927495,0.05120983,0.8757791,25800.0,0.10618945
0.05,258,0.2039433,5180.0,0.07,-10.625485,0.051231407,0.8757772,25900.0,0.106180765
0.05,259,0.20395319,5200.0,0.04,-10.608186,0.051241655,0.8757257,26000.0,0.10617551
0.0,260,0.20395444,5220.0,0.04,-11.54901,0.051277112,0.8757169,26100.0,0.10617765
0.0,261,0.2039419,5240.0,0.04,-10.130011,0.05131289,0.87571913,26200.0,0.10619625
0.0,262,0.20393728,5260.0,0.06,-12.900209,0.051383168,0.87566847,26300.0,0.106174506
0.0,263,0.20392995,5280.0,0.04,-10.419429,0.051493872,0.8756818,26400.0,0.10616457
0.0,264,0.20393571,5300.0,0.02,-8.83919,0.051556855,0.875655,26500.0,0.10616926
0.05,265,0.20393582,5320.0,0.01,-8.546643,0.05156025,0.8756868,26600.0,0.10619128
0.05,266,0.20392933,5340.0,0.03,-10.001116,0.05168925,0.8756818,26700.0,0.10616959
0.05,267,0.20392124,5360.0,0.04,-10.7055,0.05173267,0.8756959,26800.0,0.10614085
0.0,268,0.20391802,5380.0,0.02,-8.928781,0.05196345,0.87567544,26900.0,0.106132664
0.1,269,0.20391871,5400.0,0.01,-7.758995,0.052039113,0.875686,27000.0,0.10615001
0.05,270,0.20391844,5420.0,0.03,-7.990992,0.05218017,0.8757331,27100.0,0.10614792
0.0,271,0.2039224,5440.0,0.04,-11.134656,0.052229486,0.87572986,27200.0,0.10614217
0.0,272,0.20391196,5460.0,0.04,-9.063047,0.05230914,0.87573934,27300.0,0.106135905
