test/success_rate,test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/mean,stats_g/std,test/mean_Q,stats_o/std,epoch
1.0,4820.0,0.837635,24100.0,0.94,0.20160064,0.075507,-1.1058526,0.11150394,240
1.0,4840.0,0.8376619,24200.0,0.92,0.20158865,0.07546619,-0.7462539,0.111535445,241
1.0,4860.0,0.83769244,24300.0,0.95,0.20159887,0.0754616,-0.8097496,0.111536674,242
1.0,4880.0,0.8377008,24400.0,0.93,0.20161587,0.075471155,-1.2941118,0.11158618,243
1.0,4900.0,0.83770853,24500.0,0.96,0.20159489,0.075422674,-0.93154716,0.11168716,244
0.95,4920.0,0.8376963,24600.0,0.95,0.20158589,0.07541745,-1.6178461,0.11173813,245
1.0,4940.0,0.83770245,24700.0,0.98,0.20158634,0.07537497,-0.9347582,0.111710794,246
1.0,4960.0,0.8377035,24800.0,0.96,0.20159136,0.07532286,-1.0126097,0.11177917,247
0.95,4980.0,0.8377145,24900.0,0.95,0.20159124,0.07527933,-1.0878977,0.11183256,248
1.0,5000.0,0.83770937,25000.0,0.96,0.20159414,0.07523466,-1.0827361,0.111870565,249
1.0,5020.0,0.8377289,25100.0,0.98,0.2015898,0.075229086,-1.3696991,0.11184661,250
0.95,5040.0,0.83774096,25200.0,0.91,0.20159644,0.07520545,-1.6786827,0.1118785,251
1.0,5060.0,0.8377407,25300.0,0.97,0.20161122,0.075166404,-1.353669,0.111863434,252
1.0,5080.0,0.83772826,25400.0,0.98,0.20161405,0.07512184,-1.2816648,0.1118817,253
1.0,5100.0,0.8377443,25500.0,1.0,0.20161921,0.075070985,-1.0776507,0.11187759,254
1.0,5120.0,0.8377531,25600.0,0.94,0.2016411,0.07510206,-1.174226,0.1119188,255
1.0,5140.0,0.8377568,25700.0,0.95,0.20164393,0.07510968,-1.1230986,0.11198104,256
1.0,5160.0,0.83776635,25800.0,0.97,0.20164724,0.075093076,-0.9471122,0.11199348,257
1.0,5180.0,0.8377559,25900.0,0.94,0.20163919,0.07505181,-0.8222969,0.11201645,258
0.95,5200.0,0.8377902,26000.0,0.95,0.20164658,0.075014405,-2.7315197,0.11198963,259
1.0,5220.0,0.83779025,26100.0,0.95,0.20168613,0.07498374,-1.2544252,0.11200282,260
1.0,5240.0,0.8377734,26200.0,0.97,0.20168924,0.074941166,-1.1988778,0.112017624,261
0.95,5260.0,0.83775395,26300.0,0.93,0.20168974,0.07492464,-2.3433528,0.11206931,262
0.95,5280.0,0.8377207,26400.0,0.99,0.20168331,0.07488425,-1.2520062,0.112126544,263
0.95,5300.0,0.83774155,26500.0,0.97,0.20169967,0.07485229,-1.6637819,0.112218425,264
1.0,5320.0,0.8377622,26600.0,0.96,0.20170145,0.074816786,-1.0270536,0.112231515,265
1.0,5340.0,0.8377573,26700.0,0.94,0.20171028,0.07477031,-1.2057717,0.11221759,266
1.0,5360.0,0.8377556,26800.0,0.96,0.20169769,0.07473422,-0.9496583,0.11220126,267
1.0,5380.0,0.8377741,26900.0,0.98,0.20170745,0.07469349,-1.2178738,0.112272255,268
0.95,5400.0,0.8377722,27000.0,0.96,0.2017177,0.074693926,-2.1819136,0.112246715,269
