stats_g/mean,test/mean_Q,epoch,test/episode,test/success_rate,train/episode,stats_o/mean,stats_g/std,stats_o/std,train/success_rate
0.80977446,-15.541403,230,4620.0,0.3,23100.0,0.19173865,0.17271149,0.0929046,0.13
0.8098554,-12.248919,231,4640.0,0.7,23200.0,0.19174297,0.17270492,0.092925824,0.2
0.80982894,-15.470161,232,4660.0,0.35,23300.0,0.19173242,0.1727644,0.09298355,0.21
0.8098014,-10.073525,233,4680.0,0.7,23400.0,0.19171457,0.17285983,0.093103625,0.11
0.80989313,-11.018385,234,4700.0,0.45,23500.0,0.1917318,0.17286867,0.09311195,0.12
0.8098586,-13.1313505,235,4720.0,0.55,23600.0,0.19171655,0.17295627,0.09316495,0.19
0.8098969,-16.454302,236,4740.0,0.3,23700.0,0.19169067,0.17297058,0.09319803,0.1
0.80991054,-9.356121,237,4760.0,0.7,23800.0,0.19168977,0.17297782,0.09317758,0.11
0.8099423,-14.548413,238,4780.0,0.55,23900.0,0.19167635,0.17298372,0.09317825,0.17
0.8100355,-13.345976,239,4800.0,0.5,24000.0,0.19168256,0.173072,0.09319854,0.17
0.8100136,-12.338095,240,4820.0,0.55,24100.0,0.19165899,0.17304504,0.09320048,0.12
0.81003857,-11.532567,241,4840.0,0.85,24200.0,0.19166374,0.17299892,0.09320272,0.25
0.81005937,-11.084921,242,4860.0,0.5,24300.0,0.19165844,0.17293157,0.09316222,0.17
0.8101518,-16.272764,243,4880.0,0.4,24400.0,0.19165508,0.17287372,0.09313645,0.2
0.8102062,-10.112627,244,4900.0,0.65,24500.0,0.19164953,0.17277284,0.09307153,0.18
0.810277,-17.760664,245,4920.0,0.55,24600.0,0.19165216,0.17281924,0.09306952,0.2
0.810314,-18.397984,246,4940.0,0.25,24700.0,0.19164658,0.17273544,0.09301481,0.11
0.81031245,-12.741354,247,4960.0,0.6,24800.0,0.19162335,0.17274372,0.09304311,0.21
0.8103054,-12.710573,248,4980.0,0.65,24900.0,0.19160593,0.17281736,0.093047835,0.2
0.8103506,-16.93323,249,5000.0,0.45,25000.0,0.19159842,0.17282812,0.09305011,0.24
0.81042266,-16.1154,250,5020.0,0.3,25100.0,0.19160897,0.17278075,0.093026124,0.15
0.8104629,-16.231174,251,5040.0,0.5,25200.0,0.19159433,0.17277886,0.092987336,0.15
0.8104866,-17.951395,252,5060.0,0.35,25300.0,0.1915914,0.17276126,0.09301363,0.15
0.8105724,-15.2849865,253,5080.0,0.5,25400.0,0.19158584,0.17271583,0.09301648,0.14
0.8106466,-14.003606,254,5100.0,0.7,25500.0,0.19158214,0.1726916,0.09307103,0.09
0.8106747,-15.62767,255,5120.0,0.7,25600.0,0.19157887,0.17264819,0.09305759,0.17
0.81071025,-15.276693,256,5140.0,0.5,25700.0,0.1915788,0.17261803,0.09305827,0.17
0.81072855,-12.992353,257,5160.0,0.65,25800.0,0.19157827,0.17258012,0.09301013,0.17
0.81074244,-10.293929,258,5180.0,0.65,25900.0,0.1915785,0.17256881,0.093039505,0.1
0.81075007,-12.544839,259,5200.0,0.55,26000.0,0.1915718,0.17261712,0.093006656,0.14
0.81072515,-11.406732,260,5220.0,0.55,26100.0,0.19156103,0.17264658,0.09305535,0.27
0.8108072,-15.9065075,261,5240.0,0.45,26200.0,0.19157197,0.17270477,0.093023576,0.13
0.8107996,-13.66933,262,5260.0,0.55,26300.0,0.19157656,0.17273438,0.09303615,0.12
0.810867,-17.41679,263,5280.0,0.4,26400.0,0.19159162,0.17277001,0.09306467,0.14
0.81097895,-11.702997,264,5300.0,0.65,26500.0,0.19160351,0.17274882,0.0930247,0.13
0.8110595,-11.539767,265,5320.0,0.65,26600.0,0.19161229,0.17272033,0.09300058,0.2
0.8110936,-16.868683,266,5340.0,0.55,26700.0,0.19162776,0.17263807,0.09299695,0.28
0.811126,-13.163531,267,5360.0,0.55,26800.0,0.19161795,0.17262791,0.093017474,0.18
