test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.54206854,181,0.08633613,0.65,0.028891478,3640.0,0.87597704,0.2628634,3640.0
1.0,-0.6299136,182,0.08639089,0.85,0.028903943,3660.0,0.8758829,0.26284257,3660.0
1.0,-0.5349597,183,0.08636349,0.75,0.028898507,3680.0,0.87576675,0.26281908,3680.0
1.0,-0.5289482,184,0.086308874,0.85,0.028889123,3700.0,0.87577647,0.26282445,3700.0
1.0,-0.61837375,185,0.0862959,0.7,0.02888539,3720.0,0.8757987,0.26282945,3720.0
1.0,-0.6078097,186,0.086297266,0.7,0.02888751,3740.0,0.87571067,0.26281026,3740.0
1.0,-0.5921681,187,0.08629826,0.65,0.028889108,3760.0,0.87571067,0.2628088,3760.0
1.0,-0.5652126,188,0.08625237,0.75,0.028876448,3780.0,0.8757146,0.26281077,3780.0
1.0,-0.647575,189,0.08628497,0.8,0.028891364,3800.0,0.8758362,0.2628424,3800.0
1.0,-0.59569633,190,0.08628451,0.8,0.028897423,3820.0,0.87578267,0.26282907,3820.0
1.0,-0.5491664,191,0.08623374,0.8,0.028891053,3840.0,0.8757837,0.2628307,3840.0
1.0,-0.5306119,192,0.086188175,0.75,0.02888081,3860.0,0.8757792,0.26283237,3860.0
1.0,-0.5924548,193,0.08621576,0.7,0.02889049,3880.0,0.87570685,0.26281947,3880.0
1.0,-0.6721015,194,0.08619491,0.9,0.028883874,3900.0,0.87565714,0.262817,3900.0
1.0,-0.6147996,195,0.08621422,0.75,0.028886637,3920.0,0.87553024,0.2627824,3920.0
1.0,-0.5990144,196,0.086212,0.8,0.028886914,3940.0,0.8754897,0.26276737,3940.0
1.0,-0.54534614,197,0.08621317,0.65,0.028891873,3960.0,0.8755305,0.2627766,3960.0
1.0,-0.59958476,198,0.08618331,0.75,0.028887436,3980.0,0.8754649,0.26276165,3980.0
1.0,-0.6060273,199,0.08617976,0.8,0.028892,4000.0,0.8754961,0.26276928,4000.0
1.0,-0.651669,200,0.08619847,0.75,0.02889376,4020.0,0.87538606,0.26274678,4020.0
1.0,-0.5950307,201,0.086206354,0.6,0.028898168,4040.0,0.8754792,0.26276857,4040.0
1.0,-0.5794876,202,0.08617998,0.8,0.02889629,4060.0,0.8754037,0.26274914,4060.0
1.0,-0.55893147,203,0.08616251,0.8,0.02889553,4080.0,0.87549335,0.26277024,4080.0
1.0,-0.5869537,204,0.08619065,0.6,0.028903535,4100.0,0.87548727,0.2627667,4100.0
1.0,-0.5519595,205,0.086170964,0.75,0.02889989,4120.0,0.8755196,0.26277322,4120.0
1.0,-0.5978212,206,0.08615998,0.65,0.028897956,4140.0,0.8756027,0.26278728,4140.0
1.0,-0.5972769,207,0.08615887,0.75,0.028895725,4160.0,0.87559885,0.26279163,4160.0
1.0,-0.6102603,208,0.08614061,0.65,0.028889626,4180.0,0.87560254,0.26279223,4180.0
1.0,-0.5847418,209,0.08616257,0.75,0.028895482,4200.0,0.8755839,0.26279026,4200.0
1.0,-0.5947869,210,0.08619297,0.75,0.028906995,4220.0,0.8755732,0.26278907,4220.0
1.0,-0.5628693,211,0.08623179,0.75,0.02891865,4240.0,0.8755629,0.26278454,4240.0
1.0,-0.59423053,212,0.08623534,0.75,0.028923605,4260.0,0.8756044,0.26279145,4260.0
1.0,-0.58962137,213,0.08619969,0.75,0.028915603,4280.0,0.87565786,0.26280862,4280.0
1.0,-0.5993289,214,0.08620182,0.75,0.02891793,4300.0,0.875683,0.2628067,4300.0
1.0,-0.66356725,215,0.086214684,0.85,0.028924424,4320.0,0.87562543,0.26279315,4320.0
1.0,-0.61920726,216,0.08619577,0.85,0.028924426,4340.0,0.87558156,0.26278275,4340.0
1.0,-0.5938602,217,0.08620149,0.75,0.028927004,4360.0,0.87560314,0.26278824,4360.0
1.0,-0.6163846,218,0.08621436,0.65,0.02892743,4380.0,0.8756649,0.2628018,4380.0
1.0,-0.62508976,219,0.086189516,0.55,0.028922522,4400.0,0.87569636,0.26280546,4400.0
1.0,-0.64211106,220,0.08623583,0.9,0.028929178,4420.0,0.8756167,0.26279035,4420.0
1.0,-0.6086298,221,0.08625707,0.8,0.028933039,4440.0,0.87558764,0.26278138,4440.0
1.0,-0.6437015,222,0.08625844,0.5,0.02893289,4460.0,0.87559557,0.26278296,4460.0
1.0,-0.6528003,223,0.08631158,0.7,0.028943678,4480.0,0.8755172,0.26276162,4480.0
1.0,-0.58098584,224,0.08630178,0.85,0.028938044,4500.0,0.87548137,0.26275396,4500.0
1.0,-0.61176026,225,0.08630436,0.5,0.028935272,4520.0,0.87546223,0.26275468,4520.0
1.0,-0.6498352,226,0.0863137,0.65,0.028942501,4540.0,0.8754332,0.26274905,4540.0
1.0,-0.60621506,227,0.08630794,0.8,0.028947348,4560.0,0.8754824,0.26275867,4560.0
1.0,-0.55123883,228,0.08627182,0.65,0.02894513,4580.0,0.87550646,0.26276463,4580.0
1.0,-0.5479007,229,0.08624842,0.55,0.028939465,4600.0,0.8754943,0.26276046,4600.0
1.0,-0.61492723,230,0.08625581,0.75,0.02894486,4620.0,0.875406,0.26274154,4620.0
1.0,-0.5796958,231,0.086247645,0.7,0.028941685,4640.0,0.87536687,0.26272842,4640.0
1.0,-0.63621676,232,0.08621725,0.4,0.02893202,4660.0,0.8753018,0.26271644,4660.0
1.0,-0.6205132,233,0.0862278,0.55,0.028932696,4680.0,0.87528163,0.26271182,4680.0
1.0,-0.6410764,234,0.08624626,0.7,0.028939268,4700.0,0.87530446,0.26271906,4700.0
1.0,-0.5912298,235,0.08624206,0.9,0.028939407,4720.0,0.8753133,0.26272458,4720.0
1.0,-0.5774412,236,0.08621045,0.8,0.028932407,4740.0,0.8753024,0.2627212,4740.0
1.0,-0.6886859,237,0.08624477,0.75,0.028943246,4760.0,0.8752444,0.2627094,4760.0
1.0,-0.69778275,238,0.086224206,0.6,0.028938014,4780.0,0.8752323,0.26270345,4780.0
1.0,-0.5867671,239,0.08621944,0.7,0.028937664,4800.0,0.87521267,0.26269662,4800.0
1.0,-0.5731967,240,0.08622507,0.7,0.028940788,4820.0,0.875127,0.2626719,4820.0
1.0,-0.6517435,241,0.086255945,0.75,0.028946185,4840.0,0.87520033,0.2626919,4840.0
1.0,-0.5925026,242,0.08624067,0.8,0.028945401,4860.0,0.87517947,0.2626879,4860.0
1.0,-0.6329848,243,0.08622086,0.65,0.028941205,4880.0,0.8751197,0.26267496,4880.0
1.0,-0.6339013,244,0.08620343,0.8,0.028934658,4900.0,0.87512255,0.26267463,4900.0
1.0,-0.6241957,245,0.086177856,0.65,0.02892859,4920.0,0.87509966,0.26267037,4920.0
1.0,-0.63426,246,0.086214446,0.9,0.028938528,4940.0,0.87511826,0.26267025,4940.0
1.0,-0.5970353,247,0.086208306,0.65,0.028941998,4960.0,0.87511283,0.26266548,4960.0
1.0,-0.62319565,248,0.086235814,0.95,0.028949957,4980.0,0.8750866,0.2626577,4980.0
