epoch,stats_g/mean,train/success_rate,test/episode,test/success_rate,stats_g/std,stats_o/mean,train/episode,test/mean_Q,stats_o/std
263,0.8756818,0.04,5280.0,0.0,0.10616457,0.20389739,26400.0,-45.294937,0.063093826
264,0.875655,0.01,5300.0,0.0,0.10616926,0.20389366,26500.0,-43.545414,0.06309274
265,0.8756868,0.01,5320.0,0.05,0.10619128,0.20388861,26600.0,-42.945267,0.06305152
266,0.8756818,0.03,5340.0,0.05,0.10616959,0.20388387,26700.0,-43.937317,0.06305954
267,0.8756959,0.04,5360.0,0.05,0.10614085,0.20387562,26800.0,-44.255745,0.06302202
268,0.87567544,0.02,5380.0,0.0,0.106132664,0.20387118,26900.0,-45.861126,0.063023284
269,0.875686,0.01,5400.0,0.1,0.10615001,0.20387194,27000.0,-38.13286,0.062979214
270,0.8757331,0.03,5420.0,0.05,0.10614792,0.20387648,27100.0,-43.014645,0.0629638
271,0.87572986,0.03,5440.0,0.0,0.10614217,0.2038804,27200.0,-46.757423,0.06291891
272,0.87573934,0.03,5460.0,0.0,0.106135905,0.20387384,27300.0,-44.387276,0.06294084
