test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.65,0.120170444,0.20467143,4880.0,24400.0,243,0.56,-8.909662,0.845228,0.10784122
0.8,0.12016235,0.20468025,4900.0,24500.0,244,0.58,-5.205014,0.84520364,0.10784018
0.75,0.12020482,0.20467572,4920.0,24600.0,245,0.47,-5.5206766,0.8452365,0.10785369
0.8,0.12016916,0.20468132,4940.0,24700.0,246,0.46,-4.4337726,0.84526855,0.107852824
0.65,0.12017339,0.204691,4960.0,24800.0,247,0.53,-6.551535,0.84527296,0.10784552
0.7,0.12019698,0.20468308,4980.0,24900.0,248,0.57,-4.501219,0.84526443,0.10788021
0.85,0.1202219,0.20470385,5000.0,25000.0,249,0.56,-4.331266,0.8452697,0.10790348
1.0,0.120255224,0.2047172,5020.0,25100.0,250,0.59,-1.0211934,0.8452721,0.10797751
0.65,0.12025067,0.204718,5040.0,25200.0,251,0.46,-5.501943,0.8452325,0.10812846
0.85,0.120257035,0.20472492,5060.0,25300.0,252,0.56,-3.1341126,0.84522086,0.1081732
0.65,0.12020275,0.20472124,5080.0,25400.0,253,0.55,-6.285432,0.8452323,0.108157836
0.85,0.12017012,0.20473288,5100.0,25500.0,254,0.64,-3.3954582,0.84525126,0.10810831
0.85,0.12015173,0.20471998,5120.0,25600.0,255,0.44,-4.018116,0.8452854,0.108127855
0.85,0.12015805,0.20473991,5140.0,25700.0,256,0.56,-3.1553779,0.8453114,0.108161114
0.95,0.120157,0.20474643,5160.0,25800.0,257,0.6,-1.7653068,0.8453265,0.10815161
0.8,0.12011892,0.20476009,5180.0,25900.0,258,0.54,-3.8292687,0.84535575,0.10813885
0.85,0.12010885,0.2047869,5200.0,26000.0,259,0.63,-2.98455,0.8453548,0.10812373
0.75,0.12011195,0.20480727,5220.0,26100.0,260,0.64,-3.8679702,0.84538007,0.108099066
0.85,0.12013351,0.2048156,5240.0,26200.0,261,0.56,-2.326721,0.84538776,0.10812979
0.7,0.120132074,0.20481996,5260.0,26300.0,262,0.67,-4.1125736,0.84540296,0.108104855
0.8,0.12011702,0.20484087,5280.0,26400.0,263,0.5,-3.0371747,0.84543824,0.1080982
0.9,0.12008772,0.2048417,5300.0,26500.0,264,0.62,-1.8199823,0.8454593,0.10807548
1.0,0.12005933,0.20485815,5320.0,26600.0,265,0.57,-1.0621588,0.8454769,0.108089976
0.7,0.120039135,0.20489618,5340.0,26700.0,266,0.59,-3.632122,0.8455065,0.10808736
0.8,0.12005899,0.20491804,5360.0,26800.0,267,0.5,-2.9306223,0.8455567,0.10809336
0.85,0.12005793,0.20492846,5380.0,26900.0,268,0.58,-2.755114,0.8455531,0.10809973
0.9,0.120027065,0.20493625,5400.0,27000.0,269,0.55,-1.8687792,0.8455716,0.1080963
0.95,0.12001001,0.20494671,5420.0,27100.0,270,0.57,-1.9361312,0.8456464,0.10808656
0.75,0.119952776,0.20495638,5440.0,27200.0,271,0.59,-3.4312892,0.8456941,0.1080688
